hack,SourceType,Active,Name,ProperName,URL,Headless,Domain,PID,Logo,Count
1,sitegraph,TRUE,aquadocs,AquaDocs,https://oih.aquadocs.org/aquadocs.json ,FALSE,https://aquadocs.org,http://hdl.handle.net/1834/41372,,
3,sitemap,TRUE,opentopography,OpenTopography,https://opentopography.org/sitemap.xml,FALSE,http://www.opentopography.org/,https://www.re3data.org/repository/r3d100010655,https://opentopography.org/sites/opentopography.org/files/ot_transp_logo_2.png,666
5,sitemap,TRUE,iris,IRIS,http://ds.iris.edu/files/sitemap.xml,FALSE,http://iris.edu,https://www.re3data.org/repository/r3d100010268,http://ds.iris.edu/static/img/layout/logos/iris_logo_shadow.png,36
7,sitemap,TRUE,edi,Environmental Data Initiative,https://portal.edirepository.org/sitemap_index.xml,FALSE,http://environmentaldatainitiative.org/ ,https://www.re3data.org/repository/r3d100010272,https://portal.edirepository.org/nis/images/EDI-logo-300DPI_5.png,0
9,sitemap,TRUE,bco-dmo,Biological and Chemical Oceanography Data Management Office,https://www.bco-dmo.org/sitemap.xml,FALSE,http://www.bco-dmo.org/,https://www.re3data.org/repository/r3d100000012,https://www.bco-dmo.org/sites/all/themes/bcodmo/logo.png,8655
11,sitemap,TRUE,hydroshare,"Consortium of Universities for the Advancement of Hydrologic Science, Inc. (CUAHSI)",https://www.hydroshare.org/sitemap-resources.xml,FALSE,https://www.cuahsi.org/,https://www.re3data.org/repository/r3d100012625,https://www.hydroshare.org/static/img/logo-lg.png,4991
13,sitemap,TRUE,iedadata,IEDA (Integrated Earth Data Applications),http://get.iedadata.org/doi/xml-sitemap.php,FALSE,http://www.iedadata.org/,https://www.re3data.org/repository/r3d100010578,https://www.iedadata.org/wp-content/themes/IEDA/assets/img/logo.png,
15,sitemap,TRUE,opentopography,OpenTopography,https://opentopography.org/sitemap.xml,FALSE,http://www.opentopography.org/,https://www.re3data.org/repository/r3d100010655,https://opentopography.org/sites/opentopography.org/files/ot_transp_logo_2.png,666
17,sitemap,TRUE,unavco,UNAVCO,https://www.unavco.org/data/doi/sitemap.xml,FALSE,http://www.unavco.org/,http://www.re3data.org/repository/r3d100010872,https://www.unavco.org/lib/images/banner/uv-logo.png,7426
19,sitemap,TRUE,ssdb.iodp,IODP Site Survey Databank,https://ssdb.iodp.org/dataset/sitemap.xml,FALSE,https://ssdb.iodp.org/,https://www.re3data.org/repository/r3d100010267,http://ssdb.iodp.org/images/head_logo_PRO.gif,24124
21,sitemap,FALSE,balto,Balto,http://balto.opendap.org/opendap/site_map.txt ,FALSE,http://balto.opendap.org,http://balto.opendap.org,http://balto.opendap.org/opendap/docs/images/logo.png,0
23,sitemap,TRUE,linked.earth,Linked Earth,http://wiki.linked.earth/sitemap.xml,FALSE,http://wiki.linked.earth,http://wiki.linked.earth,http://wiki.linked.earth/wiki/images/thumb/5/51/EarthLinked_Banner_blue_NoShadow.jpg/440px-EarthLinked_Banner_blue_NoShadow.jpg,0
25,sitemap,TRUE,lipdverse,Linked PaleoData,https://lipdverse.org/sitemap.xml,FALSE,https://lipdverse.org/,https://lipdverse.org,,0
27,sitemap,TRUE,iris,IRIS,http://ds.iris.edu/files/sitemap.xml,FALSE,http://iris.edu,https://www.re3data.org/repository/r3d100010268,http://ds.iris.edu/static/img/layout/logos/iris_logo_shadow.png,
29,sitemap,TRUE,ucar,UCAR,https://data.ucar.edu/sitemap.xml,FALSE,https://data.ucar.edu,https://www.re3data.org/repository/r3d100010791,https://opensky.ucar.edu/islandora/object/opensky%3Aucommunity/datastream/TN/view,0
31,sitemap,TRUE,opencoredata,opencoredata,http://opencoredata.org/sitemap.xml,FALSE,https://opencoredata.org/,https://www.re3data.org/repository/r3d100012874,https://opencoredata.org/img/logo22small.png,0
33,sitemap,TRUE,magic,Magnetics Information Consortium (MagIC),https://www2.earthref.org/MagIC/contributions.sitemap.xml,TRUE,https://www.earthref.org/MagIC,http://www.re3data.org/repository/r3d100011910,http://mbobak-ofc.ncsa.illinois.edu/ext/ec/magic/MagIC.png,7131
35,sitemap,FALSE,neotomadb,Neotoma,http://data.neotomadb.org/sitemap.xml,TRUE,http://www.neotomadb.org/,http://www.re3data.org/repository/r3d100011761,https://www.neotomadb.org/images/site_graphics/Packrat.png,0
37,sitemap,TRUE,earthchem,earthchem,https://ecl.earthchem.org/sitemap.xml,FALSE,https://ecl.earthchem.org/home.php,https://www.re3data.org/repository/r3d100011538,http://www.earthchem.org/sites/default/files/files/EC_0-1.png,0
39,sitemap,TRUE,xdomes,xdomes,https://xdomes.tamucc.edu/srr/sensorML/sitemap.xml,FALSE,https://xdomes.tamucc.edu/,https://xdomes.tamucc.edu/,https://xdomes.tamucc.edu/images/xdomes_logo.png,0
41,sitemap,TRUE,neon,National Ecological Observatory Network (NEON),https://geodex.org/neon_prodcodes_sm.xml,FALSE,http://www.neonscience.org/,http://www.re3data.org/repository/r3d100010290,https://www.neonscience.org/themes/custom/neon/logo.svg,0
43,sitemap,FALSE,decade,,,FALSE,https://decade.earthchem.org/,,,0
45,sitemap,FALSE,renci,,,FALSE,renci.org,,,0
47,sitemap,FALSE,c4rsois,,,FALSE,https://data.cresis.ku.edu/,,,0
49,sitemap,TRUE,designsafe,,https://www.designsafe-ci.org/sitemap.xml ,FALSE,https://www.designsafe-ci.org/data/browser/public/,,,0
51,sitemap,FALSE,resource_registry,Resource Registry,https://object.cloud.sdsc.edu/v1/AUTH_85f46aa78936477d8e71b186269414e8/gleaner-summoned,FALSE,http://www.earthcube.org/resourceregistry/,,https://www.earthcube.org/sites/default/files/doc-repository/logo_earthcube_full_horizontal.png,0
53,sitemap,FALSE,datadiscoverystudio,,http://datadiscoverystudio.org/sitemap/CinergiSiteIndex.xml,FALSE,http://datadiscoverystudio.org/geoportal,,http://datadiscoverystudio.org/geoportal/images/DataDiscoveryStudioBufferedWhite.png,0
55,sitemap,FALSE,unidata,UNIDATA,,FALSE,http://www.unidata.ucar.edu/,https://www.re3data.org/repository/r3d100010355,,0
57,sitemap,FALSE,r2r,Rolling Deck to Repository Program (R2R),https://dev.rvdata.us/sitemap.xml,FALSE,https://www.rvdata.us/,http://www.re3data.org/repository/r3d100010735,https://www.rvdata.us/images/Logo.4b1519be.png,0
58,sitemap,TRUE,geocodes_demo_datasets,Geocodes Demo Datasets,https://raw.githubusercontent.com/earthcube/GeoCODES-Metadata/gh-pages/metadata/Dataset/sitemap.xml,FALSE,https://www.earthcube.org/datasets/,https://github.com/earthcube/GeoCODES-Metadata/metadata/OtherResources,,
59,sitemap,TRUE,usap-dc,US Antartic Program Data Center,https://www.usap-dc.org/view/dataset/sitemap.xml,,,,,0
